video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: retinaface, model_name: VGG-Face, candidate score: 1.1, time limit exceeded, correct detections: 47, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: retinaface, model_name: VGG-Face, candidate score: 1.05, time limit exceeded, correct detections: 47, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: retinaface, model_name: VGG-Face, candidate score: 1.0, time limit exceeded, correct detections: 47, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: retinaface, model_name: VGG-Face, candidate score: 0.95, time limit exceeded, correct detections: 47, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: retinaface, model_name: VGG-Face, candidate score: 0.9, time limit exceeded, correct detections: 47, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: retinaface, model_name: Facenet, candidate score: 1.1, time limit exceeded, correct detections: 40, incorrect detections: 0, no detections: 7
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: retinaface, model_name: Facenet, candidate score: 1.05, time limit exceeded, correct detections: 40, incorrect detections: 0, no detections: 7
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: retinaface, model_name: Facenet, candidate score: 1.0, time limit exceeded, correct detections: 40, incorrect detections: 0, no detections: 7
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: retinaface, model_name: Facenet, candidate score: 0.95, time limit exceeded, correct detections: 40, incorrect detections: 0, no detections: 7
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: retinaface, model_name: Facenet, candidate score: 0.9, time limit exceeded, correct detections: 40, incorrect detections: 0, no detections: 7
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: retinaface, model_name: Facenet512, candidate score: 1.1, time limit exceeded, correct detections: 47, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: retinaface, model_name: Facenet512, candidate score: 1.05, time limit exceeded, correct detections: 47, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: retinaface, model_name: Facenet512, candidate score: 1.0, time limit exceeded, correct detections: 47, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: retinaface, model_name: Facenet512, candidate score: 0.95, time limit exceeded, correct detections: 47, incorrect detections: 0, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: retinaface, model_name: Facenet512, candidate score: 0.9, time limit exceeded, correct detections: 46, incorrect detections: 1, no detections: 0
video: james_low_camera_angle_no_glasses_low_resolution.mp4, backend detector: retinaface, model_name: OpenFace, candidate score: 1.1, time limit exceeded, correct detections: 1, incorrect detections: 0, no detections: 41
